============================================================
  Schmitt Trigger Transfer Curve Analysis
============================================================
  Running up sweep (0V→1.8V)...
  Running down sweep (1.8V→0V)...

────────────────────────────────────────────────────────────
  UP (0→1.8V)
────────────────────────────────────────────────────────────
      VIN     VOUT     net1     net2
  ───────────────────────────────────
   0.0000   1.8000   1.5089   1.8000
   0.0500   1.8000   1.5087   1.8000
   0.1000   1.8000   1.5080   1.8000
   0.1500   1.8000   1.5054   1.8000
   0.2000   1.8000   1.4970   1.8000
   0.2500   1.8000   1.4778   1.8000
   0.3000   1.8000   1.4486   1.8000
   0.3500   1.8000   1.4153   1.8000
   0.4000   1.8000   1.3811   1.8000
   0.4500   1.8000   1.3476   1.8000
   0.5000   1.8000   1.3152   1.8000
   0.5500   1.8000   1.2844   1.8000
   0.6000   1.8000   1.2559   1.8000
   0.6500   1.8000   1.2311   1.8000
   0.7000   1.8000   1.2106   1.8000
   0.7500   1.8000   1.1941   1.8000
   0.8000   1.8000   1.1806   1.8000
   0.8500   1.8000   1.1693   1.8000
   0.9000   1.8000   1.1597   1.8000
   0.9500   1.8000   1.1513   1.8000
   1.0000   1.8000   1.1439   1.8000
   1.0500   1.8000   1.1371   1.8000
   1.1000   1.8000   1.1310   1.8000
   1.1500   1.8000   1.1253   1.8000
   1.2000   1.8000   1.1200   1.8000
   1.2500   1.8000   1.1151   1.8000
   1.3000   1.8000   1.1105   1.8000
   1.3500   1.8000   1.1062   1.8000
   1.4000   1.8000   1.1021   1.8000
   1.4500   1.7999   1.0982   1.7999
   1.5000   1.7998   1.0945   1.7998
   1.5500   1.7994   1.0906   1.7995
   1.6000   1.7954   1.0838   1.7972
   1.6200   0.0000   0.0000   0.6938 ←
   1.6500   0.0000   0.0000   0.6701
   1.7000   0.0000   0.0000   0.6271
   1.7500   0.0000   0.0000   0.5797
   1.8000   0.0000   0.0000   0.5285

  >>> V_PH = 1.6150 V  (VOUT crosses 0.9V fall)

────────────────────────────────────────────────────────────
  DOWN (1.8→0V)
────────────────────────────────────────────────────────────
      VIN     VOUT     net1     net2
  ───────────────────────────────────
   1.8000   0.0000   0.0000   0.5285
   1.7500   0.0000   0.0000   0.5797
   1.7000   0.0000   0.0000   0.6271
   1.6500   0.0000   0.0000   0.6701
   1.6000   0.0000   0.0000   0.7088
   1.5500   0.0000   0.0000   0.7443
   1.5000   0.0000   0.0000   0.7782
   1.4500   0.0000   0.0000   0.8125
   1.4000   0.0000   0.0000   0.8495
   1.3500   0.0000   0.0000   0.8920
   1.3000   0.0000   0.0000   0.9440
   1.2500   0.0000   0.0000   1.0103
   1.2000   0.0000   0.0000   1.0964
   1.1500   0.0000   0.0000   1.2068
   1.1000   0.0021   0.0017   1.3444
   1.0600   0.0929   0.0774   1.5031 ←
   1.0500   1.8000   1.1371   1.8000 ←
   1.0000   1.8000   1.1439   1.8000
   0.9500   1.8000   1.1513   1.8000
   0.9000   1.8000   1.1597   1.8000
   0.8500   1.8000   1.1693   1.8000
   0.8000   1.8000   1.1806   1.8000
   0.7500   1.8000   1.1941   1.8000
   0.7000   1.8000   1.2106   1.8000
   0.6500   1.8000   1.2311   1.8000
   0.6000   1.8000   1.2559   1.8000
   0.5500   1.8000   1.2844   1.8000
   0.5000   1.8000   1.3152   1.8000
   0.4500   1.8000   1.3476   1.8000
   0.4000   1.8000   1.3811   1.8000
   0.3500   1.8000   1.4153   1.8000
   0.3000   1.8000   1.4486   1.8000
   0.2500   1.8000   1.4776   1.8000
   0.2000   1.8000   1.4971   1.8000
   0.1500   1.8000   1.5054   1.8000
   0.1000   1.8000   1.5080   1.8000
   0.0500   1.8000   1.5087   1.8000
  -0.0000   1.8000   1.5089   1.8000

  >>> V_PL = 1.0553 V  (VOUT crosses 0.9 V rise)

============================================================
